Sample	Started job on	Started mapping on	Finished on	Mapping speed, Million of reads per hour	Number of input reads	Average input read length	Uniquely mapped reads number	Uniquely mapped reads %	Average mapped length	Number of splices: Total	Number of splices: Annotated (sjdb)	Number of splices: GT/AG	Number of splices: GC/AG	Number of splices: AT/AC	Number of splices: Non-canonical	Mismatch rate per base, %	Deletion rate per base	Deletion average length	Insertion rate per base	Insertion average length	Number of reads mapped to multiple loci	% of reads mapped to multiple loci	Number of reads mapped to too many loci	% of reads mapped to too many loci	Number of reads unmapped: too many mismatches	% of reads unmapped: too many mismatches	Number of reads unmapped: too short	% of reads unmapped: too short	Number of reads unmapped: other	% of reads unmapped: other	Number of chimeric reads	% of chimeric reads
Ad_Br_Fe_3	Dec 28 19:01:17	Dec 28 19:01:17	Dec 28 19:16:34	161.32	41090797	300	33769712	82.18%	297.15	24978160	0	24746656	141750	8830	80924	0.68%	0.02%	2.79	0.02%	2.43	6292183	15.31%	7135	0.02%	0	0.00%	1015625	2.47%	6142	0.01%	0	0.00%
Ad_Br_Fe_4	Dec 28 18:57:20	Dec 28 18:57:20	Dec 28 19:13:31	152.13	41033467	300	35779477	87.20%	297.07	27702158	0	27430360	171143	8775	91880	0.70%	0.02%	2.68	0.02%	2.30	4240168	10.33%	10939	0.03%	0	0.00%	995885	2.43%	6998	0.02%	0	0.00%
Ad_Br_Ma_2	Dec 28 17:19:14	Dec 28 17:19:14	Dec 28 17:34:22	204.26	51519111	300	47720978	92.63%	298.38	32666228	0	32342852	190975	13444	118957	0.37%	0.03%	2.72	0.03%	2.21	3154418	6.12%	8509	0.02%	0	0.00%	627182	1.22%	8024	0.02%	0	0.00%
Ad_Br_Ma_4	Dec 28 19:11:16	Dec 28 19:11:16	Dec 28 19:23:17	204.05	40865882	300	35844684	87.71%	297.14	28420814	0	28174045	149325	9136	88308	0.61%	0.02%	2.81	0.02%	2.24	3856418	9.44%	9297	0.02%	0	0.00%	1148146	2.81%	7337	0.02%	0	0.00%
Ad_Ey_Fe_3	Dec 28 19:08:56	Dec 28 19:08:56	Dec 28 19:22:01	185.20	40383580	300	35513978	87.94%	297.14	28303545	0	28076455	133794	13373	79923	0.69%	0.02%	2.81	0.01%	2.35	3953109	9.79%	9018	0.02%	0	0.00%	901501	2.23%	5974	0.01%	0	0.00%
Ad_Ey_Fe_4	Dec 28 19:06:32	Dec 28 19:06:32	Dec 28 19:20:46	170.52	40451467	300	36322228	89.79%	296.86	29782439	0	29562642	131385	12780	75632	0.71%	0.02%	2.78	0.01%	2.28	3162077	7.82%	8853	0.02%	0	0.00%	952044	2.35%	6265	0.02%	0	0.00%
Ad_Ey_Ma_2	Dec 28 17:03:15	Dec 28 17:03:15	Dec 28 17:19:13	192.46	51215267	300	46667001	91.12%	298.23	32862527	0	32579857	158254	18228	106188	0.43%	0.03%	2.75	0.03%	2.27	4012356	7.83%	4434	0.01%	0	0.00%	526797	1.03%	4679	0.01%	0	0.00%
Ad_Ey_Ma_3	Dec 28 19:13:31	Dec 28 19:13:32	Dec 28 19:24:34	212.21	39023075	300	34897123	89.43%	297.01	28516559	0	28291681	129400	12897	82581	0.65%	0.02%	2.79	0.01%	2.37	3168245	8.12%	11560	0.03%	0	0.00%	938463	2.40%	7684	0.02%	0	0.00%
Ad_Gi_Fe_1	Dec 28 15:50:16	Dec 28 15:50:16	Dec 28 16:32:52	86.16	61171646	300	55960007	91.48%	295.83	45767281	0	45343477	235741	11545	176518	0.77%	0.03%	2.92	0.02%	2.22	3077577	5.03%	26354	0.04%	0	0.00%	2052065	3.35%	55643	0.09%	0	0.00%
Ad_Gi_Fe_2	Dec 28 15:50:16	Dec 28 15:50:16	Dec 28 16:26:52	99.72	60827232	300	56347440	92.64%	297.08	46517447	0	46095213	232426	12445	177363	0.62%	0.03%	2.93	0.02%	2.19	2886905	4.75%	33798	0.06%	0	0.00%	1494860	2.46%	64229	0.11%	0	0.00%
Ad_Gi_Ma_1	Dec 28 18:28:38	Dec 28 18:28:38	Dec 28 18:49:45	138.91	48890128	300	44790972	91.62%	296.53	40884733	0	40499516	231237	8704	145276	0.61%	0.03%	3.01	0.02%	2.28	2619306	5.36%	26637	0.05%	0	0.00%	1424470	2.91%	28743	0.06%	0	0.00%
