Sample	Started job on	Started mapping on	Finished on	Mapping speed, Million of reads per hour	Number of input reads	Average input read length	Uniquely mapped reads number	Uniquely mapped reads %	Average mapped length	Number of splices: Total	Number of splices: Annotated (sjdb)	Number of splices: GT/AG	Number of splices: GC/AG	Number of splices: AT/AC	Number of splices: Non-canonical	Mismatch rate per base, %	Deletion rate per base	Deletion average length	Insertion rate per base	Insertion average length	Number of reads mapped to multiple loci	% of reads mapped to multiple loci	Number of reads mapped to too many loci	% of reads mapped to too many loci	Number of reads unmapped: too many mismatches	% of reads unmapped: too many mismatches	Number of reads unmapped: too short	% of reads unmapped: too short	Number of reads unmapped: other	% of reads unmapped: other	Number of chimeric reads	% of chimeric reads
Ad_Br_Fe_3	Aug 18 11:12:09	Aug 18 11:23:25	Aug 18 11:54:05	80.40	41090797	300	33667622	81.93%	297.91	28679564	28652986	28242359	331763	34785	70657	0.69%	0.02%	2.78	0.01%	2.40	6470381	15.75%	6419	0.02%	0	0.00%	918517	2.24%	27858	0.07%	0	0.00%
Ad_Br_Fe_4	Aug 18 10:57:16	Aug 18 11:06:00	Aug 18 11:47:21	59.54	41033467	300	35628415	86.83%	297.89	31740690	31713820	31265896	362668	31843	80283	0.70%	0.03%	2.68	0.02%	2.26	4464004	10.88%	10255	0.02%	0	0.00%	895843	2.18%	34950	0.09%	0	0.00%
Ad_Br_Ma_2	Aug 17 22:26:08	Aug 17 22:36:44	Aug 17 23:07:20	101.02	51519111	300	47466001	92.13%	298.91	36886737	36848218	36412803	355079	41136	77719	0.37%	0.03%	2.72	0.03%	2.17	3431949	6.66%	8520	0.02%	0	0.00%	578731	1.12%	33910	0.07%	0	0.00%
Ad_Br_Ma_4	Aug 18 12:30:54	Aug 18 12:39:25	Aug 18 12:59:44	120.69	40865882	300	35717060	87.40%	297.91	32428510	32400567	32013848	316334	29172	69156	0.61%	0.02%	2.80	0.02%	2.21	4067416	9.95%	8502	0.02%	0	0.00%	1038619	2.54%	34285	0.08%	0	0.00%
Ad_Ey_Fe_3	Aug 18 11:47:29	Aug 18 11:57:00	Aug 18 12:33:03	67.21	40383580	300	35319539	87.46%	297.99	32406412	32378338	31971722	318989	34475	81226	0.69%	0.02%	2.81	0.01%	2.32	4203564	10.41%	8955	0.02%	0	0.00%	817884	2.03%	33638	0.08%	0	0.00%
Ad_Ey_Fe_4	Aug 18 11:38:47	Aug 18 11:47:50	Aug 18 12:30:46	56.53	40451467	300	36059622	89.14%	297.75	34142273	34113235	33719193	320084	29825	73171	0.72%	0.02%	2.77	0.01%	2.26	3462627	8.56%	9090	0.02%	0	0.00%	856873	2.12%	63255	0.16%	0	0.00%
Ad_Ey_Ma_2	Aug 17 21:46:47	Aug 17 21:55:48	Aug 17 22:25:57	101.92	51215267	300	46340028	90.48%	298.84	37383087	37343046	36855269	388534	50898	88386	0.43%	0.03%	2.75	0.02%	2.24	4366007	8.52%	5690	0.01%	0	0.00%	480085	0.94%	23457	0.05%	0	0.00%
Ad_Ey_Ma_3	Aug 18 12:33:08	Aug 18 12:39:48	Aug 18 13:01:32	107.73	39023075	300	34662693	88.83%	297.85	32642967	32614805	32210996	315572	29968	86431	0.66%	0.02%	2.79	0.01%	2.32	3449472	8.84%	11613	0.03%	0	0.00%	844539	2.16%	54758	0.14%	0	0.00%
Ad_Gi_Fe_1	Aug 17 13:33:18	Aug 17 13:40:17	Aug 17 15:16:27	38.17	61171646	300	55469520	90.68%	296.73	52333582	52289307	51589619	501691	53995	188277	0.78%	0.03%	2.91	0.02%	2.21	3598850	5.88%	27510	0.04%	0	0.00%	1914379	3.13%	161387	0.26%	0	0.00%
Ad_Gi_Fe_2	Aug 17 16:51:01	Aug 17 16:59:54	Aug 17 18:15:05	48.54	60827232	300	55865559	91.84%	297.91	52910946	52866878	52220501	478281	50392	161772	0.62%	0.03%	2.93	0.02%	2.17	3371296	5.54%	31871	0.05%	0	0.00%	1386401	2.28%	172105	0.28%	0	0.00%
