Sample	Started job on	Started mapping on	Finished on	Mapping speed, Million of reads per hour	Number of input reads	Average input read length	Uniquely mapped reads number	Uniquely mapped reads %	Average mapped length	Number of splices: Total	Number of splices: Annotated (sjdb)	Number of splices: GT/AG	Number of splices: GC/AG	Number of splices: AT/AC	Number of splices: Non-canonical	Mismatch rate per base, %	Deletion rate per base	Deletion average length	Insertion rate per base	Insertion average length	Number of reads mapped to multiple loci	% of reads mapped to multiple loci	Number of reads mapped to too many loci	% of reads mapped to too many loci	Number of reads unmapped: too many mismatches	% of reads unmapped: too many mismatches	Number of reads unmapped: too short	% of reads unmapped: too short	Number of reads unmapped: other	% of reads unmapped: other	Number of chimeric reads	% of chimeric reads
Ad_Br_Fe_1	Aug 16 10:57:49	Aug 16 10:57:50	Aug 16 11:29:36	114.31	60518607	300	54504399	90.06%	298.22	22591525	21744024	22289883	151597	16128	133917	0.59%	0.04%	2.58	0.04%	2.17	5045187	8.34%	6112	0.01%	0	0.00%	956459	1.58%	6450	0.01%	0	0.00%
Ad_Br_Fe_2	Aug 17 09:56:05	Aug 17 09:59:05	Aug 17 10:41:54	85.39	60938637	300	55823713	91.61%	298.33	41349450	40146762	40907328	252669	33810	155643	0.57%	0.03%	2.63	0.02%	2.24	4118238	6.76%	9956	0.02%	0	0.00%	977245	1.60%	9485	0.02%	0	0.00%
Ad_Br_Fe_3	Aug 16 15:40:30	Aug 16 15:40:34	Aug 16 16:05:41	98.16	41090797	300	33883548	82.46%	297.92	28494001	27556263	28213944	176936	16993	86128	0.69%	0.02%	2.78	0.02%	2.43	6237621	15.18%	6090	0.01%	0	0.00%	957256	2.33%	6282	0.02%	0	0.00%
Ad_Br_Fe_4	Aug 16 15:34:07	Aug 16 15:34:11	Aug 16 16:01:51	88.99	41033467	300	35920773	87.54%	297.89	31651616	30453892	31324715	212984	18050	95867	0.70%	0.02%	2.67	0.02%	2.29	4167599	10.16%	8983	0.02%	0	0.00%	928885	2.26%	7227	0.02%	0	0.00%
Ad_Br_Ma_1	Oct 14 10:11:35	Oct 14 10:11:57	Oct 14 10:28:20	185.22	50574573	300	47066051	93.06%	298.79	33612333	32665803	33245272	216292	24774	125995	0.45%	0.03%	2.72	0.03%	2.32	2855747	5.65%	6957	0.01%	0	0.00%	636065	1.26%	9753	0.02%	0	0.00%
Ad_Br_Ma_2	Aug 16 11:48:51	Aug 16 11:48:52	Aug 16 12:14:52	118.89	51519111	300	47832578	92.84%	298.92	36890773	35878344	36516609	228936	25682	119546	0.37%	0.03%	2.71	0.03%	2.21	3082170	5.98%	7131	0.01%	0	0.00%	589152	1.14%	8080	0.02%	0	0.00%
Ad_Br_Ma_3	Aug 16 15:38:41	Aug 16 15:38:42	Aug 16 15:59:28	118.32	40952136	300	34918806	85.27%	297.92	28366018	27492189	28068725	168275	20200	108818	0.68%	0.02%	2.71	0.02%	2.32	5064841	12.37%	7069	0.02%	0	0.00%	954960	2.33%	6460	0.02%	0	0.00%
Ad_Br_Ma_4	Aug 16 16:05:47	Aug 16 16:05:51	Aug 16 16:27:01	115.84	40865882	300	35987414	88.06%	297.91	32378740	31367931	32080651	184616	20723	92750	0.61%	0.02%	2.80	0.02%	2.24	3785966	9.26%	7743	0.02%	0	0.00%	1077433	2.64%	7326	0.02%	0	0.00%
Ad_Ey_Fe_1	Aug 16 00:24:51	Aug 16 00:24:51	Aug 16 01:25:19	61.56	62038867	300	56502388	91.08%	297.26	41969106	40641714	41573068	225029	41417	129592	0.74%	0.03%	2.74	0.02%	2.19	4511331	7.27%	6391	0.01%	0	0.00%	1011034	1.63%	7723	0.01%	0	0.00%
Ad_Ey_Fe_2	Aug 16 02:06:59	Aug 16 02:07:00	Aug 16 03:02:09	66.87	61462781	300	57253848	93.15%	297.08	73969393	71733511	73601570	267057	10435	90331	0.72%	0.02%	2.41	0.01%	2.02	3207637	5.22%	5724	0.01%	0	0.00%	990378	1.61%	5194	0.01%	0	0.00%
