Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,ecotype,Experiment,Instrument,Isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,STRAIN,collection_date,env_biome,env_feature,env_material,estimated_size,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,isol_growth_condt,lat_lon,num_replicons,ploidy,project_name,propagation,sample_name,sex,Biomaterial_provider,tissue_type,AGE,BREED,Descritption,replicate,tissue
DRR121625,WGS,200,17072563048,PRJDB6634,SAMD00109155,MIGS.eu,8397192605,FISHRA,public,missing,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,DRX114563,Illumina HiSeq 2500,missing,,PAIRED,RANDOM,GENOMIC,Seriola dumerili,ILLUMINA,2020-01-22T00:00:00Z,SAMD00109155,DRP005753,missing,2014-08,ocean,ocean current,water,678000012bp,uncalculated,uncalculated,"Pacific Ocean: the sea near Kochi\, Japan",missing,32.47 N 132.41 E,24,diploid,Greater amberjack (Seriola dumerili) whole genome resequencing,sexual,Sdu_reseq_0013,,,,,,,,
DRR121979,WGS,200,17055864670,PRJDB6634,SAMD00109143,MIGS.eu,6965255673,FISHRA,public,missing,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,DRX114915,Illumina HiSeq 2500,missing,,PAIRED,RANDOM,GENOMIC,Seriola dumerili,ILLUMINA,2020-01-25T00:00:00Z,SAMD00109143,DRP005753,missing,2014-07,ocean,ocean current,water,678000000bp,uncalculated,uncalculated,Pacific Ocean:South China Sea,missing,19.2 N 109.7 E,24,diploid,Greater amberjack (Seriola dumerili) whole genome resequencing,sexual,Sdu_reseq_0001,,,,,,,,
DRR121980,WGS,200,18079043393,PRJDB6634,SAMD00109144,MIGS.eu,7479426565,FISHRA,public,missing,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,DRX114916,Illumina HiSeq 2500,missing,,PAIRED,RANDOM,GENOMIC,Seriola dumerili,ILLUMINA,2020-01-25T00:00:00Z,SAMD00109144,DRP005753,missing,2014-07,ocean,ocean current,water,678000001bp,uncalculated,uncalculated,Pacific Ocean:South China Sea,missing,19.2 N 109.7 E,24,diploid,Greater amberjack (Seriola dumerili) whole genome resequencing,sexual,Sdu_reseq_0002,,,,,,,,
DRR121983,WGS,200,17022568185,PRJDB6634,SAMD00109147,MIGS.eu,6976240197,FISHRA,public,missing,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,DRX114919,Illumina HiSeq 2500,missing,,PAIRED,RANDOM,GENOMIC,Seriola dumerili,ILLUMINA,2020-01-25T00:00:00Z,SAMD00109147,DRP005753,missing,2014-07,ocean,ocean current,water,678000004bp,uncalculated,uncalculated,Pacific Ocean:South China Sea,missing,19.2 N 109.7 E,24,diploid,Greater amberjack (Seriola dumerili) whole genome resequencing,sexual,Sdu_reseq_0005,,,,,,,,
DRR121986,WGS,200,18886234760,PRJDB6634,SAMD00109150,MIGS.eu,7781445506,FISHRA,public,missing,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,DRX114922,Illumina HiSeq 2500,missing,,PAIRED,RANDOM,GENOMIC,Seriola dumerili,ILLUMINA,2020-01-25T00:00:00Z,SAMD00109150,DRP005753,missing,2014-07,ocean,ocean current,water,678000007bp,uncalculated,uncalculated,Pacific Ocean:South China Sea,missing,19.2 N 109.7 E,24,diploid,Greater amberjack (Seriola dumerili) whole genome resequencing,sexual,Sdu_reseq_0008,,,,,,,,
DRR121989,WGS,200,17690422742,PRJDB6634,SAMD00109153,MIGS.eu,7301908274,FISHRA,public,missing,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,DRX114925,Illumina HiSeq 2500,missing,,PAIRED,RANDOM,GENOMIC,Seriola dumerili,ILLUMINA,2020-01-25T00:00:00Z,SAMD00109153,DRP005753,missing,2014-07,ocean,ocean current,water,678000010bp,uncalculated,uncalculated,Pacific Ocean:South China Sea,missing,19.2 N 109.7 E,24,diploid,Greater amberjack (Seriola dumerili) whole genome resequencing,sexual,Sdu_reseq_0011,,,,,,,,
DRR121626,WGS,200,18399579697,PRJDB6634,SAMD00109156,MIGS.eu,8936659639,FISHRA,public,missing,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,DRX114564,Illumina HiSeq 2500,missing,,PAIRED,RANDOM,GENOMIC,Seriola dumerili,ILLUMINA,2020-01-25T00:00:00Z,SAMD00109156,DRP005753,missing,2014-08,ocean,ocean current,water,678000013bp,uncalculated,uncalculated,"Pacific Ocean: the sea near Kochi\, Japan",missing,32.47 N 132.42 E,24,diploid,Greater amberjack (Seriola dumerili) whole genome resequencing,sexual,Sdu_reseq_0014,,,,,,,,
DRR121627,WGS,200,17651814668,PRJDB6634,SAMD00109157,MIGS.eu,8351300049,FISHRA,public,missing,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,DRX114565,Illumina HiSeq 2500,missing,,PAIRED,RANDOM,GENOMIC,Seriola dumerili,ILLUMINA,2020-01-25T00:00:00Z,SAMD00109157,DRP005753,missing,2014-08,ocean,ocean current,water,678000014bp,uncalculated,uncalculated,"Pacific Ocean: the sea near Kochi\, Japan",missing,32.47 N 132.43 E,24,diploid,Greater amberjack (Seriola dumerili) whole genome resequencing,sexual,Sdu_reseq_0015,,,,,,,,
DRR121628,WGS,200,17447365101,PRJDB6634,SAMD00109158,MIGS.eu,8271018101,FISHRA,public,missing,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,DRX114566,Illumina HiSeq 2500,missing,,PAIRED,RANDOM,GENOMIC,Seriola dumerili,ILLUMINA,2020-01-25T00:00:00Z,SAMD00109158,DRP005753,missing,2014-08,ocean,ocean current,water,678000015bp,uncalculated,uncalculated,"Pacific Ocean: the sea near Kochi\, Japan",missing,32.47 N 132.44 E,24,diploid,Greater amberjack (Seriola dumerili) whole genome resequencing,sexual,Sdu_reseq_0016,,,,,,,,
DRR121629,WGS,200,17230790171,PRJDB6634,SAMD00109159,MIGS.eu,8103357075,FISHRA,public,missing,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,DRX114567,Illumina HiSeq 2500,missing,,PAIRED,RANDOM,GENOMIC,Seriola dumerili,ILLUMINA,2020-01-25T00:00:00Z,SAMD00109159,DRP005753,missing,2014-08,ocean,ocean current,water,678000016bp,uncalculated,uncalculated,"Pacific Ocean: the sea near Kochi\, Japan",missing,32.47 N 132.45 E,24,diploid,Greater amberjack (Seriola dumerili) whole genome resequencing,sexual,Sdu_reseq_0017,,,,,,,,
