NW_019174256.1	BDQW01000001.1
NW_019174257.1	BDQW01000002.1
NW_019174258.1	BDQW01000003.1
NW_019174259.1	BDQW01000004.1
NW_019174260.1	BDQW01000005.1
NW_019174261.1	BDQW01000006.1
NW_019174262.1	BDQW01000007.1
NW_019174263.1	BDQW01000008.1
NW_019174264.1	BDQW01000009.1
NW_019174265.1	BDQW01000010.1
NW_019174266.1	BDQW01000011.1
NW_019174267.1	BDQW01000012.1
NW_019174268.1	BDQW01000013.1
NW_019174269.1	BDQW01000014.1
NW_019174270.1	BDQW01000015.1
NW_019174271.1	BDQW01000016.1
NW_019174272.1	BDQW01000017.1
NW_019174273.1	BDQW01000018.1
NW_019174274.1	BDQW01000019.1
NW_019174275.1	BDQW01000020.1
NW_019174276.1	BDQW01000021.1
NW_019174277.1	BDQW01000022.1
NW_019174278.1	BDQW01000023.1
NW_019174279.1	BDQW01000024.1
NW_019174280.1	BDQW01000025.1
NW_019174281.1	BDQW01000026.1
NW_019174282.1	BDQW01000027.1
NW_019174283.1	BDQW01000028.1
NW_019174284.1	BDQW01000029.1
NW_019174285.1	BDQW01000030.1
NW_019174286.1	BDQW01000031.1
NW_019174287.1	BDQW01000032.1
NW_019174288.1	BDQW01000033.1
NW_019174289.1	BDQW01000034.1
NW_019174290.1	BDQW01000035.1
NW_019174291.1	BDQW01000036.1
NW_019174292.1	BDQW01000037.1
NW_019174293.1	BDQW01000038.1
NW_019174294.1	BDQW01000039.1
NW_019174295.1	BDQW01000040.1
NW_019174296.1	BDQW01000041.1
NW_019174297.1	BDQW01000042.1
NW_019174298.1	BDQW01000043.1
NW_019174299.1	BDQW01000044.1
NW_019174300.1	BDQW01000045.1
NW_019174301.1	BDQW01000046.1
NW_019174302.1	BDQW01000047.1
NW_019174303.1	BDQW01000048.1
NW_019174304.1	BDQW01000049.1
NW_019174305.1	BDQW01000050.1
NW_019174306.1	BDQW01000051.1
NW_019174307.1	BDQW01000052.1
NW_019174308.1	BDQW01000053.1
NW_019174309.1	BDQW01000054.1
NW_019174310.1	BDQW01000055.1
NW_019174311.1	BDQW01000056.1
NW_019174312.1	BDQW01000057.1
NW_019174313.1	BDQW01000058.1
NW_019174314.1	BDQW01000059.1
NW_019174315.1	BDQW01000060.1
NW_019174316.1	BDQW01000061.1
NW_019174317.1	BDQW01000062.1
NW_019174318.1	BDQW01000063.1
NW_019174319.1	BDQW01000064.1
NW_019174320.1	BDQW01000065.1
NW_019174321.1	BDQW01000066.1
NW_019174322.1	BDQW01000067.1
NW_019174323.1	BDQW01000068.1
NW_019174324.1	BDQW01000069.1
NW_019174325.1	BDQW01000070.1
NW_019174326.1	BDQW01000071.1
NW_019174327.1	BDQW01000072.1
NW_019174328.1	BDQW01000073.1
NW_019174329.1	BDQW01000074.1
NW_019174330.1	BDQW01000075.1
NW_019174331.1	BDQW01000076.1
NW_019174332.1	BDQW01000077.1
NW_019174333.1	BDQW01000078.1
NW_019174334.1	BDQW01000079.1
NW_019174335.1	BDQW01000080.1
NW_019174336.1	BDQW01000081.1
NW_019174337.1	BDQW01000082.1
NW_019174338.1	BDQW01000083.1
NW_019174339.1	BDQW01000084.1
NW_019174340.1	BDQW01000085.1
NW_019174341.1	BDQW01000086.1
NW_019174342.1	BDQW01000087.1
NW_019174343.1	BDQW01000088.1
NW_019174344.1	BDQW01000089.1
NW_019174345.1	BDQW01000090.1
NW_019174346.1	BDQW01000091.1
NW_019174347.1	BDQW01000092.1
NW_019174348.1	BDQW01000093.1
NW_019174349.1	BDQW01000094.1
NW_019174350.1	BDQW01000095.1
NW_019174351.1	BDQW01000096.1
NW_019174352.1	BDQW01000097.1
NW_019174353.1	BDQW01000098.1
NW_019174354.1	BDQW01000099.1
NW_019174355.1	BDQW01000100.1
NW_019174356.1	BDQW01000101.1
NW_019174357.1	BDQW01000102.1
NW_019174358.1	BDQW01000103.1
NW_019174359.1	BDQW01000104.1
NW_019174360.1	BDQW01000105.1
NW_019174361.1	BDQW01000106.1
NW_019174362.1	BDQW01000107.1
NW_019174363.1	BDQW01000108.1
NW_019174364.1	BDQW01000109.1
NW_019174365.1	BDQW01000110.1
NW_019174366.1	BDQW01000111.1
NW_019174367.1	BDQW01000112.1
NW_019174368.1	BDQW01000113.1
NW_019174369.1	BDQW01000114.1
NW_019174370.1	BDQW01000115.1
NW_019174371.1	BDQW01000116.1
NW_019174372.1	BDQW01000117.1
NW_019174373.1	BDQW01000118.1
NW_019174374.1	BDQW01000119.1
NW_019174375.1	BDQW01000120.1
NW_019174376.1	BDQW01000121.1
NW_019174377.1	BDQW01000122.1
NW_019174378.1	BDQW01000123.1
NW_019174379.1	BDQW01000124.1
NW_019174380.1	BDQW01000125.1
NW_019174381.1	BDQW01000126.1
NW_019174382.1	BDQW01000127.1
NW_019174383.1	BDQW01000128.1
NW_019174384.1	BDQW01000129.1
NW_019174385.1	BDQW01000130.1
NW_019174386.1	BDQW01000131.1
NW_019174387.1	BDQW01000132.1
NW_019174388.1	BDQW01000133.1
NW_019174389.1	BDQW01000134.1
NW_019174390.1	BDQW01000135.1
NW_019174391.1	BDQW01000136.1
NW_019174392.1	BDQW01000137.1
NW_019174393.1	BDQW01000138.1
NW_019174394.1	BDQW01000139.1
NW_019174395.1	BDQW01000140.1
NW_019174396.1	BDQW01000141.1
NW_019174397.1	BDQW01000142.1
NW_019174398.1	BDQW01000143.1
NW_019174399.1	BDQW01000144.1
NW_019174400.1	BDQW01000145.1
NW_019174401.1	BDQW01000146.1
NW_019174402.1	BDQW01000147.1
NW_019174403.1	BDQW01000148.1
NW_019174404.1	BDQW01000149.1
NW_019174405.1	BDQW01000150.1
