PBfusion.1.2	transcript/80175
PBfusion.1.1	transcript/78114,transcript/80175,transcript/27241,transcript/168147,transcript/186180
PBfusion.2.2	transcript/104334
PBfusion.2.1	transcript/104334
PBfusion.3.1	transcript/89960
PBfusion.3.2	transcript/89960,transcript/89496
PBfusion.4.2	transcript/13265
PBfusion.4.1	transcript/13265
PBfusion.5.2	transcript/115839
PBfusion.5.1	transcript/115839
PBfusion.6.2	transcript/63211
PBfusion.6.1	transcript/63211
PBfusion.7.2	transcript/8766
PBfusion.7.1	transcript/6351,transcript/150957,transcript/8766
PBfusion.8.2	transcript/160457
PBfusion.8.1	transcript/160457
PBfusion.9.2	transcript/124428
PBfusion.9.1	transcript/124428
PBfusion.10.2	transcript/162221
PBfusion.10.1	transcript/162221
PBfusion.11.1	transcript/120679
PBfusion.11.2	transcript/120679,transcript/153916
PBfusion.12.1	transcript/106396
PBfusion.12.2	transcript/106396
PBfusion.13.1	transcript/15815
PBfusion.13.2	transcript/15815
PBfusion.14.2	transcript/98794
PBfusion.14.1	transcript/104974,transcript/165815,transcript/98794
PBfusion.15.2	transcript/191323
PBfusion.15.1	transcript/191323
PBfusion.16.2	transcript/83378
PBfusion.16.1	transcript/83378
PBfusion.17.2	transcript/61279
PBfusion.17.1	transcript/61279
PBfusion.18.2	transcript/131565
PBfusion.18.1	transcript/131565
PBfusion.19.2	transcript/89021
PBfusion.19.1	transcript/89021
PBfusion.20.1	transcript/122299
PBfusion.20.2	transcript/122299
PBfusion.21.2	transcript/163632
PBfusion.21.1	transcript/163632
PBfusion.22.1	transcript/103543
PBfusion.22.2	transcript/103543
PBfusion.23.2	transcript/178920
PBfusion.23.1	transcript/178920
PBfusion.24.1	transcript/34295
PBfusion.24.2	transcript/34295
PBfusion.25.2	transcript/105415
PBfusion.25.1	transcript/105415
PBfusion.26.1	transcript/137855,transcript/121808
PBfusion.26.2	transcript/121808,transcript/57149,transcript/61555,transcript/137855,transcript/98732,transcript/22608,transcript/26837,transcript/103501,transcript/63175
PBfusion.27.1	transcript/178012
PBfusion.27.2	transcript/158638,transcript/178012
PBfusion.28.1	transcript/156333
PBfusion.28.2	transcript/156333
PBfusion.29.2	transcript/47035
PBfusion.29.1	transcript/47035
PBfusion.30.2	transcript/97755
PBfusion.30.1	transcript/97755
PBfusion.31.1	transcript/126684
PBfusion.31.2	transcript/126684
PBfusion.32.2	transcript/38399
PBfusion.32.1	transcript/38399
PBfusion.33.1	transcript/7672
PBfusion.33.2	transcript/7672
PBfusion.34.2	transcript/74422
PBfusion.34.1	transcript/74422
PBfusion.35.2	transcript/155686
PBfusion.35.1	transcript/155686
PBfusion.36.1	transcript/174856
PBfusion.36.2	transcript/174856
PBfusion.37.2	transcript/128244
PBfusion.37.1	transcript/22608,transcript/128244
PBfusion.38.2	transcript/136508
PBfusion.38.1	transcript/136508
PBfusion.39.2	transcript/172244
PBfusion.39.1	transcript/172244
PBfusion.40.1	transcript/100797
PBfusion.40.2	transcript/100797
